path,status,level,purpose,size_bytes
data/BenchmarK/README.md,KEEP,META,目录索引与文档说明,621
data/BenchmarK/_meta/README.md,KEEP,META,目录索引与文档说明,873
data/BenchmarK/_meta/experiment_index.csv,KEEP,META,目录索引与文档说明,115
data/BenchmarK/p2_astar/baseline/astar_base_s10_20260302_000155_runs.csv,KEEP,AUX,小样本公平对照（辅助证据）,3131
data/BenchmarK/p2_astar/baseline/astar_base_s10_20260302_000155_summary.csv,KEEP,AUX,小样本公平对照（辅助证据）,324
data/BenchmarK/p2_astar/baseline/astar_base_s10_20260302_000155_weights.csv,KEEP,AUX,小样本公平对照（辅助证据）,3873
data/BenchmarK/p2_astar/baseline/astar_base_s10_20260302_183542_runs.csv,KEEP,AUX,小样本公平对照（辅助证据）,1151
data/BenchmarK/p2_astar/baseline/astar_base_s10_20260302_183542_summary.csv,KEEP,AUX,小样本公平对照（辅助证据）,324
data/BenchmarK/p2_astar/baseline/astar_base_s10_20260302_183542_weights.csv,KEEP,AUX,小样本公平对照（辅助证据）,1473
data/BenchmarK/p2_astar/baseline/astar_base_s10_fix_20260302_114124_runs.csv,KEEP,AUX,小样本公平对照（辅助证据）,1151
data/BenchmarK/p2_astar/baseline/astar_base_s10_fix_20260302_114124_summary.csv,KEEP,AUX,小样本公平对照（辅助证据）,324
data/BenchmarK/p2_astar/baseline/astar_base_s10_fix_20260302_114124_weights.csv,KEEP,AUX,小样本公平对照（辅助证据）,1473
data/BenchmarK/p2_astar/challenge/challenge_B19500_20260303_192240/astar_base_s50_B19500_20260303_192240_runs.csv,KEEP,CORE,挑战预算正式对比（论文核心）,4711
data/BenchmarK/p2_astar/challenge/challenge_B19500_20260303_192240/astar_base_s50_B19500_20260303_192240_summary.csv,KEEP,CORE,挑战预算正式对比（论文核心）,316
data/BenchmarK/p2_astar/challenge/challenge_B19500_20260303_192240/astar_base_s50_B19500_20260303_192240_weights.csv,KEEP,CORE,挑战预算正式对比（论文核心）,6273
data/BenchmarK/p2_astar/challenge/challenge_B19500_20260303_192240/astar_hint_v2_s50_B19500_20260303_192240_runs.csv,KEEP,CORE,挑战预算正式对比（论文核心）,4711
data/BenchmarK/p2_astar/challenge/challenge_B19500_20260303_192240/astar_hint_v2_s50_B19500_20260303_192240_summary.csv,KEEP,CORE,挑战预算正式对比（论文核心）,316
data/BenchmarK/p2_astar/challenge/challenge_B19500_20260303_192240/astar_hint_v2_s50_B19500_20260303_192240_weights.csv,KEEP,CORE,挑战预算正式对比（论文核心）,6273
data/BenchmarK/p2_astar/challenge/challenge_B19500_20260303_192240/astar_hint_v3_s50_B19500_20260303_192240_runs.csv,KEEP,CORE,挑战预算正式对比（论文核心）,5111
data/BenchmarK/p2_astar/challenge/challenge_B19500_20260303_192240/astar_hint_v3_s50_B19500_20260303_192240_summary.csv,KEEP,CORE,挑战预算正式对比（论文核心）,324
data/BenchmarK/p2_astar/challenge/challenge_B19500_20260303_192240/astar_hint_v3_s50_B19500_20260303_192240_weights.csv,KEEP,CORE,挑战预算正式对比（论文核心）,6273
data/BenchmarK/p2_astar/challenge/challenge_B19500_20260303_192240/challenge_compare_success_only.csv,KEEP,CORE,挑战预算正式对比（论文核心）,784
data/BenchmarK/p2_astar/challenge/challenge_B19500_20260303_192240/challenge_compare_summary.csv,KEEP,CORE,挑战预算正式对比（论文核心）,700
data/BenchmarK/p2_astar/heuristic/astar_hint_v1_s10_20260302_111506_runs.csv,KEEP,AUX,小样本公平对照（辅助证据）,1151
data/BenchmarK/p2_astar/heuristic/astar_hint_v1_s10_20260302_111506_summary.csv,KEEP,AUX,小样本公平对照（辅助证据）,324
data/BenchmarK/p2_astar/heuristic/astar_hint_v1_s10_20260302_111506_weights.csv,KEEP,AUX,小样本公平对照（辅助证据）,1473
data/BenchmarK/p2_astar/heuristic/astar_hint_v1_s10_fix_20260302_122746_runs.csv,KEEP,AUX,小样本公平对照（辅助证据）,1151
data/BenchmarK/p2_astar/heuristic/astar_hint_v1_s10_fix_20260302_122746_summary.csv,KEEP,AUX,小样本公平对照（辅助证据）,324
data/BenchmarK/p2_astar/heuristic/astar_hint_v1_s10_fix_20260302_122746_weights.csv,KEEP,AUX,小样本公平对照（辅助证据）,1473
data/BenchmarK/p2_astar/heuristic/astar_hint_v2_s10_20260302_183542_runs.csv,KEEP,AUX,小样本公平对照（辅助证据）,1151
data/BenchmarK/p2_astar/heuristic/astar_hint_v2_s10_20260302_183542_summary.csv,KEEP,AUX,小样本公平对照（辅助证据）,324
data/BenchmarK/p2_astar/heuristic/astar_hint_v2_s10_20260302_183542_weights.csv,KEEP,AUX,小样本公平对照（辅助证据）,1473
data/BenchmarK/p2_astar/heuristic/astar_hint_v3_s10_20260302_183542_runs.csv,KEEP,AUX,小样本公平对照（辅助证据）,1151
data/BenchmarK/p2_astar/heuristic/astar_hint_v3_s10_20260302_183542_summary.csv,KEEP,AUX,小样本公平对照（辅助证据）,324
data/BenchmarK/p2_astar/heuristic/astar_hint_v3_s10_20260302_183542_weights.csv,KEEP,AUX,小样本公平对照（辅助证据）,1473
data/BenchmarK/p2_astar/overnight/overnight_24h_20260305_071430/final/challenge_B19500_s240/astar_base_s240_B19500_20260305_071430_runs.csv,KEEP,AUX,24h长时评测过程输出（补充证据）,22142
data/BenchmarK/p2_astar/overnight/overnight_24h_20260305_071430/final/challenge_B19500_s240/astar_base_s240_B19500_20260305_071430_summary.csv,KEEP,AUX,24h长时评测过程输出（补充证据）,318
data/BenchmarK/p2_astar/overnight/overnight_24h_20260305_071430/final/challenge_B19500_s240/astar_base_s240_B19500_20260305_071430_weights.csv,KEEP,AUX,24h长时评测过程输出（补充证据）,29354
data/BenchmarK/p2_astar/overnight/overnight_24h_20260305_071430/final/challenge_B19500_s240/astar_hint_v2_s240_B19500_20260305_071430_runs.csv,KEEP,AUX,24h长时评测过程输出（补充证据）,24062
data/BenchmarK/p2_astar/overnight/overnight_24h_20260305_071430/final/challenge_B19500_s240/astar_hint_v2_s240_B19500_20260305_071430_summary.csv,KEEP,AUX,24h长时评测过程输出（补充证据）,326
data/BenchmarK/p2_astar/overnight/overnight_24h_20260305_071430/final/challenge_B19500_s240/astar_hint_v2_s240_B19500_20260305_071430_weights.csv,KEEP,AUX,24h长时评测过程输出（补充证据）,29354
data/BenchmarK/p2_astar/overnight/overnight_24h_20260305_071430/overnight.log,KEEP,AUX,24h长时评测过程输出（补充证据）,73557
data/BenchmarK/p2_astar/overnight/overnight_24h_20260305_071430/screen/screen_base_s30_B19500_runs.csv,KEEP,AUX,24h长时评测过程输出（补充证据）,2891
data/BenchmarK/p2_astar/overnight/overnight_24h_20260305_071430/screen/screen_base_s30_B19500_summary.csv,KEEP,AUX,24h长时评测过程输出（补充证据）,316
data/BenchmarK/p2_astar/overnight/overnight_24h_20260305_071430/screen/screen_base_s30_B19500_weights.csv,KEEP,AUX,24h长时评测过程输出（补充证据）,3873
data/BenchmarK/p2_astar/overnight/overnight_24h_20260305_071430/screen/screen_m1_s30_B19500_runs.csv,KEEP,AUX,24h长时评测过程输出（补充证据）,2891
data/BenchmarK/p2_astar/overnight/overnight_24h_20260305_071430/screen/screen_m1_s30_B19500_summary.csv,KEEP,AUX,24h长时评测过程输出（补充证据）,316
data/BenchmarK/p2_astar/overnight/overnight_24h_20260305_071430/screen/screen_m1_s30_B19500_weights.csv,KEEP,AUX,24h长时评测过程输出（补充证据）,3873
data/BenchmarK/p2_astar/overnight/overnight_24h_20260305_071430/screen/screen_m2_s30_B19500_runs.csv,KEEP,AUX,24h长时评测过程输出（补充证据）,3131
data/BenchmarK/p2_astar/overnight/overnight_24h_20260305_071430/screen/screen_m2_s30_B19500_summary.csv,KEEP,AUX,24h长时评测过程输出（补充证据）,324
data/BenchmarK/p2_astar/overnight/overnight_24h_20260305_071430/screen/screen_m2_s30_B19500_weights.csv,KEEP,AUX,24h长时评测过程输出（补充证据）,3873
data/BenchmarK/p2_astar/overnight/overnight_24h_20260305_071430/screen/screen_m3_s30_B19500_runs.csv,KEEP,AUX,24h长时评测过程输出（补充证据）,2891
data/BenchmarK/p2_astar/overnight/overnight_24h_20260305_071430/screen/screen_m3_s30_B19500_summary.csv,KEEP,AUX,24h长时评测过程输出（补充证据）,316
data/BenchmarK/p2_astar/overnight/overnight_24h_20260305_071430/screen/screen_m3_s30_B19500_weights.csv,KEEP,AUX,24h长时评测过程输出（补充证据）,3873
data/BenchmarK/p2_astar/overnight/overnight_24h_20260305_071430/screen/screen_m4_s30_B19500_runs.csv,KEEP,AUX,24h长时评测过程输出（补充证据）,2891
data/BenchmarK/p2_astar/overnight/overnight_24h_20260305_071430/screen/screen_m4_s30_B19500_summary.csv,KEEP,AUX,24h长时评测过程输出（补充证据）,316
data/BenchmarK/p2_astar/overnight/overnight_24h_20260305_071430/screen/screen_m4_s30_B19500_weights.csv,KEEP,AUX,24h长时评测过程输出（补充证据）,3873
data/BenchmarK/p2_astar/overnight/overnight_24h_20260305_071430/screen/screen_rank.csv,KEEP,AUX,24h长时评测过程输出（补充证据）,1473
data/BenchmarK/p2_astar/overnight/overnight_24h_20260305_071430/screen/screen_rows.csv,KEEP,AUX,24h长时评测过程输出（补充证据）,1243
data/BenchmarK/p2_astar/pass/pass_B500000_20260304_223704/astar_base_s50_B500000_20260304_223704_runs.csv,KEEP,CORE,通过预算正式对比（论文核心）,5111
data/BenchmarK/p2_astar/pass/pass_B500000_20260304_223704/astar_base_s50_B500000_20260304_223704_summary.csv,KEEP,CORE,通过预算正式对比（论文核心）,324
data/BenchmarK/p2_astar/pass/pass_B500000_20260304_223704/astar_base_s50_B500000_20260304_223704_weights.csv,KEEP,CORE,通过预算正式对比（论文核心）,6273
data/BenchmarK/p2_astar/pass/pass_B500000_20260304_223704/astar_hint_v2_s50_B500000_20260304_223704_runs.csv,KEEP,CORE,通过预算正式对比（论文核心）,5111
data/BenchmarK/p2_astar/pass/pass_B500000_20260304_223704/astar_hint_v2_s50_B500000_20260304_223704_summary.csv,KEEP,CORE,通过预算正式对比（论文核心）,324
data/BenchmarK/p2_astar/pass/pass_B500000_20260304_223704/astar_hint_v2_s50_B500000_20260304_223704_weights.csv,KEEP,CORE,通过预算正式对比（论文核心）,6273
data/BenchmarK/p2_astar/pass/pass_B500000_20260304_223704/astar_hint_v3_s50_B500000_20260304_223704_runs.csv,KEEP,CORE,通过预算正式对比（论文核心）,5111
data/BenchmarK/p2_astar/pass/pass_B500000_20260304_223704/astar_hint_v3_s50_B500000_20260304_223704_summary.csv,KEEP,CORE,通过预算正式对比（论文核心）,324
data/BenchmarK/p2_astar/pass/pass_B500000_20260304_223704/astar_hint_v3_s50_B500000_20260304_223704_weights.csv,KEEP,CORE,通过预算正式对比（论文核心）,6273
data/BenchmarK/p2_astar/pass/pass_B500000_20260304_223704/pass_compare_success_only.csv,KEEP,CORE,通过预算正式对比（论文核心）,832
data/BenchmarK/p2_astar/pass/pass_B500000_20260304_223704/pass_compare_summary.csv,KEEP,CORE,通过预算正式对比（论文核心）,692
data/BenchmarK/p2_astar/tune/budget_sweep_20260302_224634/astar_base_B19300_runs.csv,KEEP,CORE,预算扫描与阈值选择证据（论文核心）,1071
data/BenchmarK/p2_astar/tune/budget_sweep_20260302_224634/astar_base_B19300_summary.csv,KEEP,CORE,预算扫描与阈值选择证据（论文核心）,316
data/BenchmarK/p2_astar/tune/budget_sweep_20260302_224634/astar_base_B19300_weights.csv,KEEP,CORE,预算扫描与阈值选择证据（论文核心）,1473
data/BenchmarK/p2_astar/tune/budget_sweep_20260302_224634/astar_base_B19400_runs.csv,KEEP,CORE,预算扫描与阈值选择证据（论文核心）,1071
data/BenchmarK/p2_astar/tune/budget_sweep_20260302_224634/astar_base_B19400_summary.csv,KEEP,CORE,预算扫描与阈值选择证据（论文核心）,316
data/BenchmarK/p2_astar/tune/budget_sweep_20260302_224634/astar_base_B19400_weights.csv,KEEP,CORE,预算扫描与阈值选择证据（论文核心）,1473
data/BenchmarK/p2_astar/tune/budget_sweep_20260302_224634/astar_base_B19500_runs.csv,KEEP,CORE,预算扫描与阈值选择证据（论文核心）,1071
data/BenchmarK/p2_astar/tune/budget_sweep_20260302_224634/astar_base_B19500_summary.csv,KEEP,CORE,预算扫描与阈值选择证据（论文核心）,316
data/BenchmarK/p2_astar/tune/budget_sweep_20260302_224634/astar_base_B19500_weights.csv,KEEP,CORE,预算扫描与阈值选择证据（论文核心）,1473
data/BenchmarK/p2_astar/tune/budget_sweep_20260302_224634/astar_base_B19600_runs.csv,KEEP,CORE,预算扫描与阈值选择证据（论文核心）,1151
data/BenchmarK/p2_astar/tune/budget_sweep_20260302_224634/astar_base_B19600_summary.csv,KEEP,CORE,预算扫描与阈值选择证据（论文核心）,324
data/BenchmarK/p2_astar/tune/budget_sweep_20260302_224634/astar_base_B19600_weights.csv,KEEP,CORE,预算扫描与阈值选择证据（论文核心）,1473
data/BenchmarK/p2_astar/tune/budget_sweep_20260302_224634/astar_base_B19700_runs.csv,KEEP,CORE,预算扫描与阈值选择证据（论文核心）,1151
data/BenchmarK/p2_astar/tune/budget_sweep_20260302_224634/astar_base_B19700_summary.csv,KEEP,CORE,预算扫描与阈值选择证据（论文核心）,324
data/BenchmarK/p2_astar/tune/budget_sweep_20260302_224634/astar_base_B19700_weights.csv,KEEP,CORE,预算扫描与阈值选择证据（论文核心）,1473
data/BenchmarK/p2_astar/tune/budget_sweep_20260302_224634/astar_base_B19800_runs.csv,KEEP,CORE,预算扫描与阈值选择证据（论文核心）,1151
data/BenchmarK/p2_astar/tune/budget_sweep_20260302_224634/astar_base_B19800_summary.csv,KEEP,CORE,预算扫描与阈值选择证据（论文核心）,324
data/BenchmarK/p2_astar/tune/budget_sweep_20260302_224634/astar_base_B19800_weights.csv,KEEP,CORE,预算扫描与阈值选择证据（论文核心）,1473
data/BenchmarK/p2_astar/tune/budget_sweep_20260302_224634/astar_v3_B19300_runs.csv,KEEP,CORE,预算扫描与阈值选择证据（论文核心）,1071
data/BenchmarK/p2_astar/tune/budget_sweep_20260302_224634/astar_v3_B19300_summary.csv,KEEP,CORE,预算扫描与阈值选择证据（论文核心）,316
data/BenchmarK/p2_astar/tune/budget_sweep_20260302_224634/astar_v3_B19300_weights.csv,KEEP,CORE,预算扫描与阈值选择证据（论文核心）,1473
data/BenchmarK/p2_astar/tune/budget_sweep_20260302_224634/astar_v3_B19400_runs.csv,KEEP,CORE,预算扫描与阈值选择证据（论文核心）,1071
data/BenchmarK/p2_astar/tune/budget_sweep_20260302_224634/astar_v3_B19400_summary.csv,KEEP,CORE,预算扫描与阈值选择证据（论文核心）,316
data/BenchmarK/p2_astar/tune/budget_sweep_20260302_224634/astar_v3_B19400_weights.csv,KEEP,CORE,预算扫描与阈值选择证据（论文核心）,1473
data/BenchmarK/p2_astar/tune/budget_sweep_20260302_224634/astar_v3_B19500_runs.csv,KEEP,CORE,预算扫描与阈值选择证据（论文核心）,1151
data/BenchmarK/p2_astar/tune/budget_sweep_20260302_224634/astar_v3_B19500_summary.csv,KEEP,CORE,预算扫描与阈值选择证据（论文核心）,324
data/BenchmarK/p2_astar/tune/budget_sweep_20260302_224634/astar_v3_B19500_weights.csv,KEEP,CORE,预算扫描与阈值选择证据（论文核心）,1473
data/BenchmarK/p2_astar/tune/budget_sweep_20260302_224634/astar_v3_B19600_runs.csv,KEEP,CORE,预算扫描与阈值选择证据（论文核心）,1151
data/BenchmarK/p2_astar/tune/budget_sweep_20260302_224634/astar_v3_B19600_summary.csv,KEEP,CORE,预算扫描与阈值选择证据（论文核心）,324
data/BenchmarK/p2_astar/tune/budget_sweep_20260302_224634/astar_v3_B19600_weights.csv,KEEP,CORE,预算扫描与阈值选择证据（论文核心）,1473
data/BenchmarK/p2_astar/tune/budget_sweep_20260302_224634/astar_v3_B19700_runs.csv,KEEP,CORE,预算扫描与阈值选择证据（论文核心）,1151
data/BenchmarK/p2_astar/tune/budget_sweep_20260302_224634/astar_v3_B19700_summary.csv,KEEP,CORE,预算扫描与阈值选择证据（论文核心）,324
data/BenchmarK/p2_astar/tune/budget_sweep_20260302_224634/astar_v3_B19700_weights.csv,KEEP,CORE,预算扫描与阈值选择证据（论文核心）,1473
data/BenchmarK/p2_astar/tune/budget_sweep_20260302_224634/astar_v3_B19800_runs.csv,KEEP,CORE,预算扫描与阈值选择证据（论文核心）,1151
data/BenchmarK/p2_astar/tune/budget_sweep_20260302_224634/astar_v3_B19800_summary.csv,KEEP,CORE,预算扫描与阈值选择证据（论文核心）,324
data/BenchmarK/p2_astar/tune/budget_sweep_20260302_224634/astar_v3_B19800_weights.csv,KEEP,CORE,预算扫描与阈值选择证据（论文核心）,1473
data/BenchmarK/p2_astar/tune/budget_sweep_20260302_224634/budget_sweep_compare.csv,KEEP,CORE,预算扫描与阈值选择证据（论文核心）,2282
data/BenchmarK/p2_astar/tune/budget_sweep_20260302_224634/compare_B19300.csv,KEEP,CORE,预算扫描与阈值选择证据（论文核心）,533
data/BenchmarK/p2_astar/tune/budget_sweep_20260302_224634/compare_B19400.csv,KEEP,CORE,预算扫描与阈值选择证据（论文核心）,533
data/BenchmarK/p2_astar/tune/budget_sweep_20260302_224634/compare_B19500.csv,KEEP,CORE,预算扫描与阈值选择证据（论文核心）,569
data/BenchmarK/p2_astar/tune/budget_sweep_20260302_224634/compare_B19600.csv,KEEP,CORE,预算扫描与阈值选择证据（论文核心）,621
data/BenchmarK/p2_astar/tune/budget_sweep_20260302_224634/compare_B19700.csv,KEEP,CORE,预算扫描与阈值选择证据（论文核心）,621
data/BenchmarK/p2_astar/tune/budget_sweep_20260302_224634/compare_B19800.csv,KEEP,CORE,预算扫描与阈值选择证据（论文核心）,621
data/config/README.md,KEEP,META,目录索引与文档说明,580
data/config/pathlearn_app.conf,KEEP,CORE,当前论文主线关键输入/模型/配置,2407
data/config/pathlearn_app_p0.conf,KEEP,HISTORY,历史阶段配置，保留追溯,1937
data/config/pathlearn_eval.conf,KEEP,HISTORY,历史阶段配置，保留追溯,3194
data/config/pathlearn_eval_p0_challenge.conf,KEEP,HISTORY,历史阶段配置，保留追溯,2830
data/config/pathlearn_eval_p0_pass.conf,KEEP,HISTORY,历史阶段配置，保留追溯,2820
data/config/pathlearn_eval_p1_challenge.conf,KEEP,HISTORY,历史阶段配置，保留追溯,2868
data/config/pathlearn_eval_p1_challenge_tune.conf,KEEP,HISTORY,历史阶段配置，保留追溯,1620
data/config/pathlearn_eval_p1_pass.conf,KEEP,HISTORY,历史阶段配置，保留追溯,2853
data/config/pathlearn_eval_p2_astar_baseline.conf,KEEP,CORE,当前论文主线关键输入/模型/配置,1146
data/config/pathlearn_eval_p2_astar_heuristic.conf,KEEP,CORE,当前论文主线关键输入/模型/配置,1076
data/config/pathlearn_eval_p2_astar_learning.conf,KEEP,CORE,当前论文主线关键输入/模型/配置,1108
data/maps/README.md,KEEP,META,目录索引与文档说明,447
data/maps/scene_01.txt,KEEP,AUX,历史/对照地图，可选使用,83804
data/maps/scene_02.txt,KEEP,AUX,历史/对照地图，可选使用,83804
data/maps/scene_03.txt,KEEP,AUX,历史/对照地图，可选使用,83804
data/maps/scene_04.txt,KEEP,AUX,历史/对照地图，可选使用,83804
data/maps/scene_05.txt,KEEP,AUX,历史/对照地图，可选使用,83804
data/maps/scene_boundary.txt,KEEP,AUX,历史/对照地图，可选使用,11021
data/maps/scene_custom.tmj,KEEP,CORE,当前论文主线关键输入/模型/配置,37509
data/maps/scene_custom.txt,KEEP,CORE,当前论文主线关键输入/模型/配置,275311
data/maps/walls_32.tsx,KEEP,CORE,当前论文主线关键输入/模型/配置,233
data/models/README.md,KEEP,META,目录索引与文档说明,427
data/models/nn_sampler_default.txt,KEEP,CORE,当前论文主线关键输入/模型/配置,2055
data/models/nn_sampler_v1.txt,KEEP,HISTORY,早期模型，保留追溯,2093
data/models/nn_sampler_v2.txt,KEEP,CORE,当前论文主线关键输入/模型/配置,3109
data/models/nn_sampler_v3.txt,KEEP,CORE,当前论文主线关键输入/模型/配置,4128
data/models/nn_sampler_v4_20260305_071430.txt,KEEP,CORE,当前论文主线关键输入/模型/配置,6159
data/models/nn_sampler_v5_20260305_071430.txt,KEEP,CORE,当前论文主线关键输入/模型/配置,8188
data/nn_dataset/README.md,KEEP,CORE,离线训练/验证/测试数据集,389
data/nn_dataset/nn_test_samples.csv,KEEP,CORE,离线训练/验证/测试数据集,117990
data/nn_dataset/nn_train_samples.csv,KEEP,CORE,离线训练/验证/测试数据集,943423
data/nn_dataset/nn_val_samples.csv,KEEP,CORE,离线训练/验证/测试数据集,117914
data/tiles/README.md,KEEP,AUX,地图编辑资源,253
data/tiles/tile.png,KEEP,AUX,地图编辑资源,82
data/tiles/tile.tsx,KEEP,AUX,地图编辑资源,217
data/tiles/tile_32.png,KEEP,AUX,地图编辑资源,100
---,---,---,---,---
data/BenchmarK/legacy_rrt,DELETED,REMOVED,移除旧RRT阶段目录，非当前论文主线,
data/BenchmarK/p1,DELETED,REMOVED,移除P1历史目录，非当前论文主线,
data/BenchmarK/p2_astar/overnight/overnight_smoke_222413,DELETED,REMOVED,移除冒烟目录，非正式结果,
data/BenchmarK/p2_astar/overnight/overnight_24h_smoke_wrapper_071146,DELETED,REMOVED,移除包装脚本冒烟目录，非正式结果,
data/eval_config_run_20260302_125223_runs.csv,DELETED,REMOVED,移除临时配置运行产物,
data/eval_config_run_20260302_125223_summary.csv,DELETED,REMOVED,移除临时配置运行产物,
